subject_group,school_code,school_name,major_group_code,actual_group_min_score,actual_group_min_rank,major_code,major_name,actual_major_min_score,actual_major_min_rank,actual_major_max_score,actual_major_avg_score,actual_major_admit_count,selection_requirement,college_department,major_note,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
历史,10422,山东大学,102,619,2047,001,马克思主义理论,619,2072,621.0,,2,历+政,,,2,2,,,1
历史,10422,山东大学,201,616,2411,005,中国语言文学类,625,1456,631.0,,2,历,,汉语言文学,14,14,,,6
历史,10422,山东大学,201,616,2411,006,历史学类,621,1835,623.0,,2,历,,历史学、档案学,14,14,,,6
历史,10422,山东大学,201,616,2411,008,英语,618,2189,620.0,,4,历,,,14,14,,,6
历史,10422,山东大学,201,616,2411,007,哲学类,617,2306,618.0,,2,历,,哲学、宗教学,14,14,,,6
历史,10422,山东大学,201,616,2411,009,考古学,617,2306,618.0,,2,历,,,14,14,,,6
历史,10422,山东大学,201,616,2411,010,汉语国际教育,616,2420,616.0,,2,历,,,14,14,,,6
历史,10422,山东大学,202,614,2611,011,法学类,619,2072,620.0,,4,历,,法学,23,23,,,6
历史,10422,山东大学,202,614,2611,012,经济学类,618,2189,618.0,,2,历,,经济学、金融学经世学堂新文科实验班,23,23,,,6
历史,10422,山东大学,202,614,2611,013,经济学类,616,2420,617.0,,4,历,,经济学、财政学、金融学、国际经济与贸易,23,23,,,6
历史,10422,山东大学,202,614,2611,016,新闻传播学类,615,2535,616.0,,3,历,,新闻学、国际新闻与传播,23,23,,,6
历史,10422,山东大学,202,614,2611,015,社会学类,615,2535,616.0,,2,历,,社会学、社会工作、人类学,23,23,,,6
历史,10422,山东大学,202,614,2611,014,工商管理类,614,2676,615.0,,8,历,,工商管理、会计学,23,23,,,6
历史,10217,哈尔滨工程大学,208,589,8071,001,英语,590,7863,591.0,,2,历,,,6,6,,,3
历史,10217,哈尔滨工程大学,208,589,8071,003,工商管理,589,8167,595.0,,3,历,,,6,6,,,3
历史,10217,哈尔滨工程大学,208,589,8071,002,法学,589,8167,589.0,,1,历,,,6,6,,,3
历史,10217,哈尔滨工程大学,209,593,6933,004,英语,593,6999,593.0,,1,历,,AI试验班,1,1,,,1
历史,10040,外交学院,105,617,2260,001,英语(国际传播),617,2246,617.0,,1,历,,,1,1,,,1
历史,10040,外交学院,106,617,2329,003,法学,625,1418,625.0,,1,历,,,3,3,,,2
历史,10040,外交学院,106,617,2329,002,法语,614,2598,617.0,,2,历,,,3,3,,,2
